When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:08:12	 395	 448	752	128	 91.41	 0	-1 	0
2025-11-06 11:08:13	 430	 495	747	128	 14.06	 0	-1 	0
2025-11-06 11:08:14	 465	 522	747	128	 4.22	 4	0 	0
2025-11-06 11:08:15	 500	 697	720	128	 202.50	 0	-1 	0
2025-11-06 11:08:16	 535	 637	669	128	 180.00	 -4	-2 	0
2025-11-06 11:08:17	 570	 391	662	23	 174.38	 -11	1 	0
2025-11-06 11:08:18	 605	 410	678	16	 357.19	 13	0 	0
2025-11-06 11:08:19	 640	 604	662	112	 28.12	 1	0 	0
2025-11-06 11:08:20	 675	 768	828	128	 92.81	 2	0 	0
When: 2025-11-06 11:08:21 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:08:24	 782	 -97	798	56	 90.00	 -1	4 	0
2025-11-06 11:08:25	 817	 -97	880	8	 90.00	 -1	0 	0
When: 2025-11-06 11:08:29 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:08:34	 1079	 4514	3516	32	 55.55	 6	4 	0
When: 2025-11-06 11:08:36 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:08:38	 1196	 4514	3516	32	 260.86	 -2	-11 	0
2025-11-06 11:08:39	 1231	 4514	3516	32	 318.87	 3	-15 	0
2025-11-06 11:08:40	 1266	 4514	3516	32	 155.74	 -6	6 	0
2025-11-06 11:08:41	 1301	 4514	3516	32	 104.77	 -5	11 	0
2025-11-06 11:08:42	 1336	 4514	3516	32	 104.77	 -2	4 	0
When: 2025-11-06 11:08:46 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:08:48	 1488	 4517	3530	32	 260.86	 2	14 	0
2025-11-06 11:08:49	 1523	 4583	3759	32	 260.86	 0	0 	0
2025-11-06 11:08:50	 1558	 4574	3661	32	 259.10	 -1	-2 	0
2025-11-06 11:08:51	 1593	 4543	3610	32	 230.98	 -4	-5 	0
2025-11-06 11:08:52	 1628	 4437	3548	32	 185.27	 -7	0 	0
2025-11-06 11:08:53	 1663	 4309	3427	32	 223.95	 -4	-4 	0
2025-11-06 11:08:54	 1698	 4272	3385	48	 303.05	 1	-3 	0
2025-11-06 11:08:55	 1733	 4403	3203	32	 322.38	 5	-6 	0
2025-11-06 11:08:56	 1768	 4513	3107	32	 310.08	 0	-1 	0
2025-11-06 11:08:58	 1859	 4484	3150	32	 125.51	 -4	5 	0
2025-11-06 11:08:59	 1894	 4355	3246	32	 144.84	 -4	3 	0
2025-11-06 11:09:00	 1929	 4246	3300	32	 174.73	 -7	0 	0
2025-11-06 11:09:01	 1964	 4050	3375	72	 181.76	 -7	2 	0
2025-11-06 11:09:02	 1999	 3884	3350	112	 192.30	 -3	-1 	0
